ligand,receptor,dist,correspondence,dist,correspondence,diff2,FC,p_val,q_val,enriched_rank
VCL,PRKCA,0.007185413230571265,0.73270947,0.00603402537320913,0.75191045,1.3256939980809674e-06,2.40583441720865,0.12088365271856305,0.9999999189135129,145
LAMB3,ITGA3,0.011364124729920669,0.23688413,0.012510113476482863,0.16315418,1.3132902072471898e-06,2.3833243455518747,0.122636327848754,0.9999999189135129,146
CXCL2,CXCR4,0.013698114346769581,0.1015394,0.01255900408282097,0.0779077,1.2975721934330758e-06,2.3547997096563393,0.12489792595854743,0.9999999189135129,147
THBS1,ITGB1,0.004020760030304389,4.107202,0.0028828677419740073,6.8428946,1.2947988598417528e-06,2.349766737179988,0.1253017556785735,0.9999999189135129,148
KITLG,CXCR4,0.020061147920405118,0.032016877,0.021198907445200872,0.0032372659,1.2944967362634601e-06,2.349218451298058,0.12534583594974724,0.9999999189135129,149
LAMA1,ITGA3,0.0073110132677534755,1.0202355,0.008436853507348916,0.6215905,1.2675162450923182e-06,2.300254969267748,0.1293527636726416,0.9999999189135129,150
BDNF,ERBB3,0.013014700217397025,0.094658405,0.01189799578041354,0.19733265,1.2470287995785994e-06,2.2630748948245194,0.1324907603645873,0.9999999189135129,151
THBS1,ITGA11,0.01685686871813225,0.015052461,0.01574436848467651,0.024194453,1.2376567694390754e-06,2.2460667823178455,0.13395449937652604,0.9999999189135129,152
VEGFB,ERBB2,0.007507437973797147,0.6973845,0.006396953010512392,0.6902984,1.2331768536815438e-06,2.237936749647209,0.13466055778268227,0.9999999189135129,153
FZD8,LRP6,0.01438817271744579,0.08449604,0.013281327093892561,0.14205042,1.2251072343789353e-06,2.223292217892453,0.1359429000027541,0.9999999189135129,154
VEGFA,ERBB4,0.010827332042034598,0.21496901,0.009720729475443064,0.4466011,1.2245692403869705e-06,2.2223158806200547,0.13602887726060608,0.9999999189135129,155
TGFB2,SPHK1,0.014853127438363775,0.13314378,0.015958819813369284,0.027928041,1.222555628145324e-06,2.2186616303625457,0.13635121503850445,0.9999999189135129,156
VEGFA,ITGB3,0.004808136563081568,1.9860765,0.003703133007398771,2.1358902,1.221032858071623e-06,2.2158981474938684,0.1365955471004271,0.9999999189135129,157
LAMA4,ITGA6,0.009826552753677808,0.3118272,0.008727497835533648,0.2067014,1.2079217130968663e-06,2.192104388244039,0.13871967606738467,0.9999999189135129,158
COPA,CD74,0.01057117708882711,0.24181703,0.009474077398341588,0.2406856,1.203627730863428e-06,2.1843117828169625,0.1394233732183604,0.9999999189135129,159
IL6,AR,0.05635444367329922,0.00395528,0.05526057382616279,0.024674317,1.1965512424742718e-06,2.171469558786188,0.14059182615192933,0.9999999189135129,160
THBS1,ITGAV,0.005929131849071304,1.1003623,0.004835611860704254,1.1258692,1.1957859649582748e-06,2.170080753383609,0.14071884443215366,0.9999999189135129,161
IL32,ITGB3,0.004795716098057453,1.9000102,0.0037031288143745617,2.0343373,1.1937469724655588e-06,2.1663804437174963,0.1410578995216667,0.9999999189135129,162
TGFB1,ITGAV,0.0024615239775627423,3.4070628,0.001373545731538553,1.4623532,1.1836966638218715e-06,2.14814140931472,0.14274259411365597,0.9999999189135129,163
LAMA5,ITGA3,0.01177172794121409,0.22516742,0.01285576397609011,0.14629634,1.1751341249097247e-06,2.1326023400850556,0.1441957674842268,0.9999999189135129,164
THBS1,LTBP1,0.01666936177782214,0.019886035,0.015586896236743851,0.038680006,1.1717316476219137e-06,2.1264276142624783,0.1447778298785034,0.9999999189135129,165
LAMC2,ITGA3,0.012495470033773702,0.13292463,0.013576586657446764,0.075874895,1.1688131539822392e-06,2.1211312091683183,0.14527920646407222,0.9999999189135129,166
