 	gene_name
NDUFA10	NDUFA10
DEF8	DEF8
STX10	STX10
GPBP1	GPBP1
TXN	TXN
SEPTIN9	SEPTIN9
TPM3	TPM3
PURA	PURA
RDH13	RDH13
ARL1	ARL1
BLOC1S4	BLOC1S4
IFNAR1	IFNAR1
COMT	COMT
GANAB	GANAB
UBE2V2	UBE2V2
SLC25A36	SLC25A36
COX17	COX17
CCT3	CCT3
RAB11B	RAB11B
HAX1	HAX1
SF3B1	SF3B1
RAP1A	RAP1A
METTL9	METTL9
LMTK2	LMTK2
TMEM256	TMEM256
FDX1	FDX1
TADA3	TADA3
SPPL2A	SPPL2A
TRIP12	TRIP12
KCMF1	KCMF1
DERL2	DERL2
TCEAL8	TCEAL8
ZBTB7A	ZBTB7A
WASHC4	WASHC4
PRMT1	PRMT1
VMP1	VMP1
TSG101	TSG101
LARP6	LARP6
TAF7	TAF7
CD2BP2	CD2BP2
ROCK1	ROCK1
DDB1	DDB1
SNHG16	SNHG16
ZCCHC17	ZCCHC17
HEXB	HEXB
YTHDF2	YTHDF2
TOR1A	TOR1A
AZI2	AZI2
SLC52A2	SLC52A2
FICD	FICD
IRF3	IRF3
BLOC1S6	BLOC1S6
CWC15	CWC15
UQCRFS1	UQCRFS1
LEPROT	LEPROT
TBCB	TBCB
REPIN1	REPIN1
PRDX4	PRDX4
NDUFB2	NDUFB2
TRAM1	TRAM1
PPIG	PPIG
COX7B	COX7B
TAX1BP3	TAX1BP3
CTBS	CTBS
TNFRSF1A	TNFRSF1A
COQ10B	COQ10B
GOPC	GOPC
TERF2IP	TERF2IP
GPS2	GPS2
ARID1B	ARID1B
ZNF92	ZNF92
RTL8C	RTL8C
ITPA	ITPA
NARF	NARF
JKAMP	JKAMP
VAMP3	VAMP3
PSMC2	PSMC2
SERINC1	SERINC1
SND1	SND1
EPN1	EPN1
PUF60	PUF60
COMMD1	COMMD1
CDIPT	CDIPT
RTL8A	RTL8A
CAMLG	CAMLG
ARL5A	ARL5A
NDFIP1	NDFIP1
USP34	USP34
VAMP2	VAMP2
PRPF8	PRPF8
AKAP9	AKAP9
SERPINB6	SERPINB6
MVB12A	MVB12A
WTAP	WTAP
CCT4	CCT4
KIAA2013	KIAA2013
ERP44	ERP44
KDM5A	KDM5A
MFF	MFF
NUCB2	NUCB2
LUC7L	LUC7L
GRB2	GRB2
PPP2CB	PPP2CB
ABHD17A	ABHD17A
NSD3	NSD3
ATP9B	ATP9B
NUCB1	NUCB1
MDH2	MDH2
SNX17	SNX17
LSM1	LSM1
AHSA1	AHSA1
CHURC1	CHURC1
TMED5	TMED5
PARVA	PARVA
ARFGAP3	ARFGAP3
S100A11	S100A11
WDR13	WDR13
TMEM181	TMEM181
TMEM126A	TMEM126A
SMIM10L1	SMIM10L1
TMEM259	TMEM259
DCTN6	DCTN6
GOLGB1	GOLGB1
KIF1B	KIF1B
DNAJC3	DNAJC3
STARD3NL	STARD3NL
ELOF1	ELOF1
TMED7	TMED7
TUFM	TUFM
TMEM115	TMEM115
TMEM126B	TMEM126B
PSMD3	PSMD3
GOLGA2	GOLGA2
TWF2	TWF2
STK25	STK25
DCTN1	DCTN1
GIT1	GIT1
PRPF6	PRPF6
STX4	STX4
CTDSP2	CTDSP2
CUL3	CUL3
DPCD	DPCD
SGMS1	SGMS1
JAGN1	JAGN1
MFSD10	MFSD10
KIF5B	KIF5B
PAPOLA	PAPOLA
HGS	HGS
NDUFA7	NDUFA7
MAP7D1	MAP7D1
JPX	JPX
IDH3B	IDH3B
ATP1A1	ATP1A1
USO1	USO1
SCP2	SCP2
NAP1L1	NAP1L1
SDHC	SDHC
SAR1B	SAR1B
AGTRAP	AGTRAP
RSL24D1	RSL24D1
PAFAH1B2	PAFAH1B2
EEF1G	EEF1G
ELOC	ELOC
TOPORS	TOPORS
PNKD	PNKD
RBFOX2	RBFOX2
SEC23A	SEC23A
MYL12B	MYL12B
GLRX2	GLRX2
ZYX	ZYX
SRSF6	SRSF6
RAB18	RAB18
CMTM6	CMTM6
PSMD9	PSMD9
REEP3	REEP3
ARL16	ARL16
PTPN12	PTPN12
BRD4	BRD4
PEPD	PEPD
SLC25A11	SLC25A11
GDI1	GDI1
RRP36	RRP36
CDC40	CDC40
TMEM263	TMEM263
NAGK	NAGK
EIF2A	EIF2A
HMGXB3	HMGXB3
VAT1	VAT1
NTAN1	NTAN1
YWHAZ	YWHAZ
DBNL	DBNL
SFT2D1	SFT2D1
BAD	BAD
NDUFS6	NDUFS6
RPAIN	RPAIN
TP53RK	TP53RK
COX7C	COX7C
UBFD1	UBFD1
ATG12	ATG12
SYMPK	SYMPK
RBX1	RBX1
TSPAN4	TSPAN4
DAXX	DAXX
CDC42SE1	CDC42SE1
ZFYVE16	ZFYVE16
FAM89B	FAM89B
SHISA5	SHISA5
COPS2	COPS2
CHD9	CHD9
FGFR1OP2	FGFR1OP2
SARNP	SARNP
COL18A1	COL18A1
DHPS	DHPS
IP6K2	IP6K2
SRA1	SRA1
UBE2E1	UBE2E1
FAM234A	FAM234A
EGLN2	EGLN2
PDIA6	PDIA6
UBE2D1	UBE2D1
LSM10	LSM10
VPS4B	VPS4B
KRAS	KRAS
NECTIN2	NECTIN2
ZFPM1	ZFPM1
THYN1	THYN1
ZNF358	ZNF358
DDA1	DDA1
FKBP1A	FKBP1A
GOLGA7	GOLGA7
SYNCRIP	SYNCRIP
DHRS4L2	DHRS4L2
